combination,meanY,corXY,corXY2,meanMagnitude2,maxY2,corXZ2,maxZ2,sdZ,meanY2,meanMagnitude,meanZ,corYZ2,maxZ,minX2,minZ,meanX,corXZ,sdZ2,auc2,sdX,maxY,maxX2,meanX2,sdMagnitude2,minY2,minZ2,sdY2,meanDif,meanZ2,sdX2,sdMagnitude,corYZ,maxX,auc,sdY,minY,minX,meanDif2,user
PPSO_svm,2,0,4,2,14,14,3,0,0,0,6,1,4,1,0,13,15,1,2,0,5,5,2,10,1,5,12,0,1,4,0,4,11,0,10,2,3,0,508.0
BaseDE_knn,23,2,17,7,3,15,2,4,6,7,8,0,7,4,10,10,10,9,6,6,2,5,4,11,8,14,0,3,4,8,6,0,11,12,1,17,8,5,509.0
BaseDE_svm,22,1,8,8,9,28,3,1,5,3,1,2,3,11,5,5,23,16,9,6,14,8,2,10,12,8,10,4,2,11,10,1,6,6,11,15,8,4,509.0
BaseGA_knn,6,0,15,0,0,2,1,2,0,3,1,0,6,5,4,5,0,6,0,1,0,12,1,3,0,12,0,0,2,6,0,0,2,2,1,23,4,0,509.0
BaseGA_svm,30,0,1,6,0,10,0,0,0,1,1,0,2,1,0,0,0,4,3,0,0,1,1,1,1,23,6,0,0,4,1,0,0,1,1,23,0,0,509.0
OriginalArchOA_knn,16,0,7,0,2,17,1,4,0,2,1,0,3,3,3,3,10,4,3,0,3,7,2,4,4,13,0,2,2,2,2,0,3,3,1,15,2,0,509.0
OriginalArchOA_svm,25,0,3,5,6,17,0,0,2,0,1,0,1,1,2,0,13,4,4,0,5,2,1,0,0,18,7,1,0,6,0,0,2,0,10,12,0,1,509.0
OriginalDO_knn,16,1,13,0,0,11,2,2,2,6,1,0,4,2,7,3,9,8,0,0,2,5,0,5,3,16,0,0,2,4,2,0,0,1,3,17,1,0,509.0
OriginalDO_svm,30,0,2,2,5,17,0,0,0,0,1,0,1,4,0,1,6,7,2,0,1,1,0,6,5,13,6,0,0,2,2,0,0,0,4,19,1,0,509.0
OriginalGBO_knn,15,1,13,2,2,15,2,2,1,3,5,0,1,2,7,1,8,7,1,0,2,3,3,7,2,12,0,0,3,6,1,1,8,3,2,13,3,0,509.0
OriginalGBO_svm,28,0,3,4,2,19,0,1,1,1,0,0,2,4,0,2,9,9,6,1,2,0,0,7,6,8,11,0,0,2,2,0,1,2,7,10,0,2,509.0
OriginalJA_knn,23,1,12,5,4,7,5,6,7,5,4,0,4,4,3,7,14,1,6,2,4,4,3,5,4,12,2,3,4,3,3,0,4,1,2,14,2,0,509.0
OriginalJA_svm,18,0,8,9,8,23,5,0,1,1,1,0,2,3,2,3,19,9,8,3,8,0,1,5,4,7,12,2,3,4,1,2,7,2,10,3,1,3,509.0
OriginalRUN_knn,16,0,16,0,2,8,2,3,3,2,1,0,6,1,6,3,5,8,1,0,1,5,0,3,1,16,0,0,2,4,0,0,1,3,2,17,1,0,509.0
OriginalRUN_svm,28,0,3,2,2,18,1,1,0,2,0,0,1,2,0,0,5,7,3,1,1,0,0,3,2,13,8,1,0,4,0,1,1,2,7,14,2,0,509.0
OriginalWOA_knn,14,2,11,1,0,9,3,2,1,1,4,0,3,3,6,2,7,8,1,0,4,4,2,3,2,7,0,0,0,1,2,0,5,4,2,15,4,0,509.0
OriginalWOA_svm,21,3,6,6,3,19,0,1,0,0,1,1,1,1,0,1,10,4,3,0,3,1,0,3,4,11,6,0,1,6,2,4,5,0,10,9,1,0,509.0
PPSO_knn,25,1,11,0,1,13,1,4,3,4,2,0,4,1,2,1,16,6,1,0,5,3,4,4,5,11,0,0,1,7,0,1,5,2,4,9,0,0,509.0
PPSO_svm,22,1,3,6,3,14,0,0,0,1,0,0,2,4,2,1,16,7,1,0,7,1,2,4,3,7,4,0,3,11,1,5,2,1,13,11,1,1,509.0
BaseDE_knn,8,6,26,12,10,11,8,10,16,11,2,1,12,9,9,12,10,0,9,9,8,13,4,17,11,0,9,9,11,8,8,2,7,11,21,18,11,14,510.0
BaseDE_svm,3,14,6,6,1,8,7,10,9,6,6,6,6,5,6,6,26,0,2,0,7,6,5,14,7,2,1,3,1,3,11,11,3,7,29,3,14,6,510.0
BaseGA_knn,2,0,17,4,2,0,3,2,15,2,1,0,4,5,0,1,0,0,4,1,0,2,1,20,8,0,1,4,5,1,4,0,0,1,24,3,5,1,510.0
BaseGA_svm,0,6,2,0,3,15,0,3,3,1,7,0,3,0,10,0,29,0,0,1,1,4,0,2,2,1,1,0,0,1,1,16,0,2,29,1,3,1,510.0
OriginalArchOA_knn,5,4,24,8,4,8,5,5,4,7,1,0,4,2,1,0,5,0,5,3,4,4,0,9,2,0,4,5,7,6,8,0,1,2,17,4,4,1,510.0
OriginalArchOA_svm,3,5,4,0,2,9,0,2,5,0,0,0,4,3,2,1,29,0,0,0,0,3,0,6,3,0,2,0,5,1,3,9,5,2,28,4,3,0,510.0
OriginalDO_knn,3,17,30,7,12,27,2,1,5,6,3,1,3,5,4,2,26,0,13,2,5,12,4,12,3,0,11,4,10,2,8,0,2,6,19,1,2,4,510.0
OriginalDO_svm,1,7,1,0,1,6,0,5,2,0,6,1,2,1,9,1,26,0,0,0,3,3,1,4,1,1,0,0,3,0,3,8,1,0,29,1,3,0,510.0
OriginalGBO_knn,5,6,26,7,9,14,4,3,4,4,4,5,11,4,3,3,12,0,3,2,1,8,3,9,1,2,7,3,7,4,12,1,4,5,16,3,5,10,510.0
OriginalGBO_svm,1,8,4,0,2,12,1,7,5,1,5,1,4,4,1,0,25,0,0,0,3,3,1,1,5,0,0,0,1,2,6,12,2,0,29,3,1,1,510.0
OriginalJA_knn,6,6,26,8,4,8,7,6,6,6,6,1,6,6,4,5,7,0,10,2,5,3,5,11,6,1,6,11,9,6,8,0,3,4,17,9,6,6,510.0
OriginalJA_svm,3,8,4,0,2,4,0,10,5,3,5,1,4,5,3,1,26,0,2,1,1,2,2,7,4,2,0,2,5,1,3,6,1,3,28,4,4,0,510.0
OriginalRUN_knn,3,4,23,2,5,6,2,3,6,3,1,0,6,5,1,0,5,0,5,4,2,6,2,9,3,1,4,6,9,0,7,0,1,1,15,6,6,1,510.0
OriginalRUN_svm,2,6,2,0,0,8,1,4,3,0,12,0,4,1,1,0,30,0,0,0,4,1,0,3,0,2,1,0,2,1,4,8,2,0,29,1,2,0,510.0
OriginalWOA_knn,2,8,21,9,6,4,2,3,4,1,3,1,4,4,1,3,5,1,7,5,2,7,1,7,3,1,3,3,12,8,3,1,5,2,14,2,2,1,510.0
OriginalWOA_svm,0,7,5,0,3,5,0,4,4,0,4,0,3,3,0,0,20,0,0,2,8,5,1,5,1,0,2,0,7,0,2,9,3,1,21,2,3,0,510.0
PPSO_knn,2,9,24,6,2,14,6,0,4,2,1,1,7,2,4,2,15,0,5,2,1,8,3,9,3,2,9,1,7,3,7,0,3,2,15,8,3,2,510.0
PPSO_svm,1,6,3,0,6,0,0,4,2,0,4,1,5,5,4,1,22,0,1,1,1,5,2,5,2,0,1,0,4,0,4,3,1,1,25,1,1,0,510.0
BaseDE_knn,3,1,8,14,10,4,12,19,12,14,9,4,5,10,17,6,29,2,7,17,1,15,11,11,8,10,13,11,14,17,22,25,10,10,15,9,10,11,511.0
BaseDE_svm,11,14,10,3,8,0,4,0,3,7,9,7,15,12,6,5,28,0,7,21,12,7,5,5,5,0,1,12,9,17,26,3,6,2,10,20,17,9,511.0
BaseGA_knn,0,0,0,0,1,0,5,0,1,1,0,1,0,0,0,0,0,0,1,4,0,4,15,0,1,0,8,0,11,1,20,1,0,4,2,0,22,1,511.0
BaseGA_svm,0,0,4,2,2,0,1,1,5,1,2,0,1,9,6,0,12,0,2,9,13,10,2,0,0,0,0,5,1,3,30,2,0,4,4,15,17,0,511.0
OriginalArchOA_knn,1,0,2,2,5,0,4,6,1,2,5,2,0,3,13,0,18,0,2,7,2,4,6,4,1,4,5,1,5,9,25,8,1,3,15,2,7,0,511.0
OriginalArchOA_svm,1,2,5,2,1,0,4,1,3,3,2,5,4,5,3,0,21,0,0,13,7,8,6,3,1,0,3,1,2,4,27,0,0,2,10,13,9,1,511.0
OriginalDO_knn,3,0,5,8,13,1,5,12,4,5,5,1,1,4,13,4,25,0,4,11,0,4,8,7,4,4,5,3,7,11,26,22,2,6,17,5,6,4,511.0
OriginalDO_svm,0,1,8,1,4,0,7,0,0,2,2,5,8,7,4,2,29,0,0,22,7,10,2,2,0,0,1,0,3,8,30,1,2,3,6,18,6,0,511.0
OriginalGBO_knn,2,1,4,6,10,1,3,11,6,6,4,4,3,5,14,1,24,0,4,12,2,9,3,6,5,2,8,7,4,12,25,19,3,4,12,10,9,2,511.0
OriginalGBO_svm,1,3,2,3,3,0,3,1,1,3,1,3,10,7,3,0,27,0,3,23,2,13,5,1,0,0,1,2,1,1,27,2,1,5,11,16,9,0,511.0
OriginalJA_knn,5,4,6,5,7,1,7,13,4,5,9,0,3,5,13,8,20,0,5,7,4,7,5,8,5,4,7,4,11,11,27,17,4,10,13,9,10,4,511.0
OriginalJA_svm,1,7,3,2,4,0,4,0,1,1,3,3,4,7,4,2,25,0,0,18,2,6,8,5,0,0,1,3,4,8,27,1,4,2,14,13,6,1,511.0
OriginalRUN_knn,1,0,3,3,7,0,2,3,4,1,3,1,0,4,11,0,14,1,3,2,0,8,4,5,3,1,8,1,8,6,27,11,3,2,12,2,8,0,511.0
OriginalRUN_svm,2,3,2,0,1,0,5,0,2,1,1,1,0,8,0,0,20,0,1,16,8,9,1,1,0,0,0,0,2,2,29,1,0,3,5,17,10,0,511.0
OriginalWOA_knn,2,0,7,3,6,5,3,7,2,5,3,1,1,6,7,0,9,1,0,7,0,9,4,2,3,3,16,3,2,9,23,12,1,5,7,6,5,0,511.0
OriginalWOA_svm,2,1,3,0,3,0,5,1,2,2,3,2,1,9,4,0,11,0,0,13,3,7,5,5,0,0,0,0,3,3,20,1,1,0,6,16,7,1,511.0
PPSO_knn,2,0,5,2,10,0,2,10,1,5,5,3,2,2,7,0,23,2,0,12,5,7,4,4,2,4,6,1,7,13,20,13,2,4,10,11,4,0,511.0
PPSO_svm,2,2,6,1,3,0,3,0,4,4,0,2,7,6,5,2,19,0,1,17,3,4,8,4,1,0,1,0,3,7,24,0,2,0,12,10,3,0,511.0
BaseDE_knn,7,19,9,17,1,6,8,7,8,4,4,13,12,5,7,9,21,17,11,7,7,9,5,8,9,9,21,8,4,15,3,4,8,13,5,2,16,5,512.0
BaseDE_svm,7,10,3,7,1,2,8,3,8,6,6,6,6,6,6,6,20,11,7,5,5,6,4,6,21,4,3,7,6,22,2,12,10,11,7,4,12,3,512.0
BaseGA_knn,0,0,0,1,0,0,0,0,9,0,3,0,4,8,3,3,11,1,2,0,0,4,0,0,11,8,0,0,0,29,0,0,0,0,0,0,18,0,512.0
BaseGA_svm,0,0,0,9,0,0,0,0,0,6,8,0,7,0,4,5,1,0,6,0,4,0,0,0,30,0,0,0,0,30,0,0,8,6,0,0,1,0,512.0
OriginalArchOA_knn,4,12,7,2,2,1,3,1,8,1,2,5,5,3,3,3,17,8,5,0,7,6,0,1,12,9,15,2,3,16,0,3,3,4,4,0,2,2,512.0
OriginalArchOA_svm,3,1,1,3,0,1,1,1,2,5,3,2,4,0,3,3,13,2,7,0,9,2,2,2,17,2,1,0,0,28,0,0,2,5,1,0,4,1,512.0
OriginalDO_knn,16,13,10,6,1,6,4,4,12,4,2,6,2,2,1,3,26,11,4,3,11,2,4,3,8,9,24,8,4,20,0,14,7,8,2,2,5,3,512.0
OriginalDO_svm,2,2,0,6,0,2,2,0,1,6,6,1,7,2,3,3,8,2,5,0,2,5,1,0,20,0,2,0,0,29,0,0,4,6,2,1,2,0,512.0
OriginalGBO_knn,7,12,8,4,2,4,5,2,3,7,3,6,6,5,0,7,16,12,6,3,4,3,2,3,10,9,16,5,4,14,5,4,5,0,7,1,4,5,512.0
OriginalGBO_svm,3,6,1,2,1,1,0,1,0,3,5,1,4,1,4,6,11,5,7,0,2,7,3,1,16,2,6,0,2,25,1,1,4,4,4,1,3,1,512.0
OriginalJA_knn,6,17,5,4,2,1,3,4,10,2,2,8,11,2,2,6,18,10,5,0,8,6,3,1,6,8,19,1,4,17,2,0,3,5,4,3,6,2,512.0
OriginalJA_svm,2,7,0,3,1,0,0,1,3,5,6,2,9,1,1,4,10,2,7,0,10,3,6,1,14,1,0,0,1,28,0,1,4,2,1,0,4,1,512.0
OriginalRUN_knn,1,4,2,4,0,3,5,0,4,2,0,3,9,3,0,3,17,5,3,2,4,8,1,4,12,7,10,2,2,19,1,2,0,2,1,0,9,0,512.0
OriginalRUN_svm,3,4,0,3,0,0,3,0,2,5,5,0,4,2,0,6,11,4,5,0,6,4,2,1,19,0,0,0,1,26,0,0,4,4,0,1,3,0,512.0
OriginalWOA_knn,6,4,3,2,2,3,3,1,8,1,2,1,7,4,3,3,10,9,4,3,6,8,2,4,10,5,7,2,3,12,1,7,2,2,2,1,6,0,512.0
OriginalWOA_svm,1,5,0,1,0,3,0,0,2,7,3,0,5,4,0,3,16,8,4,0,4,5,1,4,10,3,6,1,6,20,1,0,2,3,5,3,8,0,512.0
PPSO_knn,2,8,4,4,3,3,0,1,5,3,2,5,3,3,0,6,15,11,4,0,5,7,0,4,8,8,9,4,3,14,1,2,3,3,1,0,4,0,512.0
PPSO_svm,2,5,1,4,3,1,3,0,0,2,4,1,4,4,2,4,19,8,5,1,6,3,0,3,10,9,4,0,0,16,1,1,5,4,5,1,4,0,512.0
BaseDE_knn,13,14,4,5,10,23,7,9,14,2,17,4,17,14,5,16,1,1,8,5,6,17,9,17,8,9,8,12,8,30,22,0,10,3,4,11,10,18,513.0
BaseDE_svm,5,14,2,7,11,8,6,7,1,11,4,12,5,9,9,3,4,0,8,6,4,16,6,4,0,0,0,4,5,26,8,12,3,8,3,6,3,4,513.0
BaseGA_knn,1,2,0,0,1,27,0,0,0,0,1,1,11,28,1,0,0,0,1,0,1,16,2,0,0,0,0,1,0,29,3,0,0,0,0,0,1,5,513.0
BaseGA_svm,0,3,0,0,1,0,0,0,0,0,9,27,1,0,0,0,0,0,1,0,0,22,1,0,0,3,0,0,4,8,0,0,0,0,0,1,10,0,513.0
OriginalArchOA_knn,1,8,2,2,1,15,3,1,2,0,6,3,7,8,3,0,1,5,5,3,3,14,2,6,0,6,6,1,3,27,7,0,0,1,1,4,1,9,513.0
OriginalArchOA_svm,4,14,0,1,2,2,0,0,0,0,7,12,4,3,1,1,1,0,0,0,1,12,7,6,0,3,0,0,6,16,1,1,0,3,0,3,5,0,513.0
OriginalDO_knn,5,10,6,3,10,23,8,7,2,3,12,3,13,9,11,7,0,7,4,2,5,10,9,13,1,11,11,19,7,30,14,4,3,5,3,9,4,15,513.0
OriginalDO_svm,0,8,0,0,8,6,1,0,0,3,4,16,8,7,2,0,0,0,1,1,0,16,2,0,0,3,0,0,3,23,1,0,0,0,0,2,4,0,513.0
OriginalGBO_knn,2,6,1,2,6,21,7,1,5,0,9,7,13,8,0,5,2,5,5,4,4,11,3,5,1,10,8,8,5,30,9,0,2,2,2,2,2,12,513.0
OriginalGBO_svm,0,14,0,4,6,4,4,1,0,3,0,13,6,6,2,1,1,0,3,0,0,12,4,7,0,4,0,0,2,19,0,0,1,0,0,1,1,0,513.0
OriginalJA_knn,4,10,5,2,8,17,2,1,5,1,12,3,6,10,3,6,1,1,1,1,6,13,4,11,3,6,2,6,2,28,8,1,1,1,1,9,7,7,513.0
OriginalJA_svm,2,10,0,5,2,4,3,0,0,1,5,14,6,4,1,0,0,0,0,0,1,15,2,4,0,3,0,0,4,16,1,2,1,3,0,0,3,0,513.0
OriginalRUN_knn,1,7,3,4,7,18,4,1,3,0,6,2,9,13,0,0,0,3,2,2,3,9,3,4,1,5,5,3,3,29,2,1,1,0,0,2,3,6,513.0
OriginalRUN_svm,1,12,0,1,4,1,3,0,0,0,7,16,6,3,2,0,0,0,0,0,0,15,2,2,0,2,0,1,5,17,1,0,1,2,0,3,4,1,513.0
OriginalWOA_knn,2,9,1,2,5,10,4,0,1,0,4,3,5,13,4,0,0,4,3,1,1,13,3,5,2,5,4,7,3,24,4,0,0,0,2,6,1,10,513.0
OriginalWOA_svm,0,10,0,2,4,5,5,0,1,2,4,10,1,4,5,1,0,1,2,2,0,9,3,6,1,5,0,0,5,16,4,2,3,0,1,1,1,2,513.0
PPSO_knn,3,5,2,1,4,11,5,3,1,4,13,3,3,9,3,1,1,6,1,3,4,11,4,11,2,4,7,4,2,23,8,0,1,3,3,2,0,3,513.0
PPSO_svm,0,15,2,1,3,5,5,0,1,2,3,8,6,3,1,3,0,1,1,1,1,9,5,7,1,2,2,1,7,17,1,1,2,2,1,1,3,1,513.0
BaseDE_knn,1,0,9,7,11,0,12,5,8,7,7,14,4,8,10,4,4,19,8,16,13,12,9,12,15,16,22,9,10,11,12,0,8,11,19,3,8,6,516.0
BaseDE_svm,2,0,16,5,6,5,9,5,3,0,8,8,6,9,8,6,9,15,5,20,3,9,4,9,8,8,23,5,2,11,11,0,5,1,8,15,8,6,516.0
BaseGA_knn,0,0,0,1,1,0,3,0,2,11,1,0,1,2,2,1,2,2,1,4,1,23,1,4,2,5,5,1,3,6,6,0,0,9,6,1,0,1,516.0
BaseGA_svm,0,0,13,3,1,0,0,2,1,0,5,1,4,9,0,1,2,17,0,19,0,15,0,5,3,7,23,0,0,9,9,2,6,1,5,1,17,0,516.0
OriginalArchOA_knn,0,0,4,5,3,2,4,4,2,4,3,10,4,2,3,0,9,10,5,10,9,3,3,3,6,13,14,5,4,10,6,0,5,4,18,2,5,0,516.0
OriginalArchOA_svm,0,0,9,1,8,0,4,3,5,0,4,6,6,4,4,1,7,16,1,16,0,14,1,3,2,5,18,0,0,11,15,0,6,1,5,4,10,0,516.0
OriginalDO_knn,0,1,10,1,7,1,7,3,8,3,8,15,0,3,6,1,4,19,0,18,17,5,3,7,11,18,25,8,8,5,11,1,4,8,22,5,4,3,516.0
OriginalDO_svm,0,0,14,1,8,0,3,3,5,1,3,2,9,6,3,1,11,18,1,22,0,7,1,1,5,11,19,0,1,9,14,0,7,0,5,4,8,0,516.0
OriginalGBO_knn,1,0,4,3,8,2,6,2,6,8,1,8,2,6,4,1,5,10,5,8,11,8,1,6,8,15,16,1,2,8,5,0,5,7,16,2,2,1,516.0
OriginalGBO_svm,1,1,7,1,5,4,3,3,6,0,6,2,0,3,7,1,8,14,6,11,1,8,3,3,8,4,16,0,2,11,11,0,5,2,9,9,8,0,516.0
OriginalJA_knn,2,0,5,6,3,1,6,7,4,8,7,10,2,7,5,5,4,14,3,6,8,10,6,4,4,13,12,2,7,14,10,0,6,5,16,3,6,3,516.0
OriginalJA_svm,1,0,11,7,2,3,3,3,5,2,2,2,1,2,5,3,4,16,3,11,0,9,2,6,6,9,19,3,0,5,14,0,8,3,11,8,10,2,516.0
OriginalRUN_knn,0,0,0,2,7,0,6,2,9,2,2,3,1,0,5,1,2,3,0,11,8,13,1,6,3,12,13,0,3,9,7,0,0,8,5,0,1,0,516.0
OriginalRUN_svm,1,0,8,6,4,1,1,5,6,1,3,0,4,7,4,3,6,16,1,15,1,8,0,2,4,8,17,0,0,9,12,1,3,1,10,1,10,0,516.0
OriginalWOA_knn,1,0,1,2,3,0,7,7,3,3,3,2,3,4,2,1,3,11,5,9,3,9,3,5,7,5,5,1,5,15,6,0,4,7,6,0,2,0,516.0
OriginalWOA_svm,1,0,7,5,3,0,3,6,3,1,3,2,2,5,2,5,8,10,3,12,2,8,1,3,2,5,14,0,2,6,11,1,6,5,10,10,6,0,516.0
PPSO_knn,0,0,2,4,4,1,5,8,5,6,1,5,2,1,2,2,7,6,3,5,3,10,2,4,4,7,8,3,4,5,7,0,2,6,10,1,4,1,516.0
PPSO_svm,2,1,2,6,4,2,1,4,5,1,2,1,4,5,2,6,5,16,5,11,1,8,2,4,8,2,14,0,1,6,7,1,7,2,11,9,6,0,516.0
